x,y,layer1,layer2,voltage1,voltage2,current
228.585,314.722,TOP_LAYER,BOTTOM_LAYER,0.0070861,0.00710137,-0.0188482
240.396,141.493,TOP_LAYER,BOTTOM_LAYER,0.00577168,0.0057117,0.0740682
244.333,456.454,TOP_LAYER,BOTTOM_LAYER,0.0074858,0.00752005,-0.0422956
244.333,480.076,TOP_LAYER,BOTTOM_LAYER,0.0074858,0.00752005,-0.0422956
244.333,503.698,TOP_LAYER,BOTTOM_LAYER,0.0075212,0.00753098,-0.0120795
252.207,314.722,TOP_LAYER,BOTTOM_LAYER,0.00710528,0.00710137,0.00483656
263.078,141.493,TOP_LAYER,BOTTOM_LAYER,0.00576115,0.00569699,0.0792239
267.955,456.454,TOP_LAYER,BOTTOM_LAYER,0.00751174,0.00754529,-0.0414222
267.955,480.076,TOP_LAYER,BOTTOM_LAYER,0.00751174,0.00754529,-0.0414222
267.955,503.698,TOP_LAYER,BOTTOM_LAYER,0.00753733,0.0075542,-0.0208376
342.759,310.785,TOP_LAYER,BOTTOM_LAYER,0.00711582,0.00711582,4.28426e-15
366.381,310.785,TOP_LAYER,BOTTOM_LAYER,0.00711582,0.00711582,-2.14213e-15
456.932,192.675,TOP_LAYER,BOTTOM_LAYER,0.00455913,0.00458552,-0.0325848
460.869,586.375,TOP_LAYER,BOTTOM_LAYER,0.00819575,0.00809722,0.121661
484.491,586.375,TOP_LAYER,BOTTOM_LAYER,0.00819575,0.00809722,0.121661
508.113,586.375,TOP_LAYER,BOTTOM_LAYER,0.00834817,0.00813303,0.265665
531.735,586.375,TOP_LAYER,BOTTOM_LAYER,0.00834817,0.00813303,0.265665
555.357,586.375,TOP_LAYER,BOTTOM_LAYER,0.0086712,0.0080422,0.776724
571.105,188.738,TOP_LAYER,BOTTOM_LAYER,0.00456422,0.004134,0.531267
571.105,212.36,TOP_LAYER,BOTTOM_LAYER,0.00442295,0.004134,0.356815
594.727,188.738,TOP_LAYER,BOTTOM_LAYER,0.00499335,0.00390895,1.33907
594.727,212.36,TOP_LAYER,BOTTOM_LAYER,0.00452384,0.00390895,0.759291
720.711,228.108,TOP_LAYER,BOTTOM_LAYER,0.00145133,0.00203762,-0.72399
720.711,251.73,TOP_LAYER,BOTTOM_LAYER,0.00103026,0.00203762,-1.24395
744.333,228.108,TOP_LAYER,BOTTOM_LAYER,0.00134953,0.00185085,-0.619057
744.333,251.73,TOP_LAYER,BOTTOM_LAYER,0.00134953,0.00185085,-0.619057
767.955,228.108,TOP_LAYER,BOTTOM_LAYER,0.00134953,0.00185085,-0.619057
767.955,251.73,TOP_LAYER,BOTTOM_LAYER,0.00134953,0.00185085,-0.619057
